,,v1,v2,v3
247,0.71,את יכולה לדמיין שאת לא יכולה להציל את ילדך?,אפשר לדמיין שלא מצליחים להציל את הילד שלך?,אתה יכול לדמיין שאתה לא יכול להציל את ילדך?
247,0.18,את יכולה לדמיין שאת לא יכולה להציל את הילד שלך?,אתה יכול לדמיין שאתה לא יכול להציל את הילד שלך?,אפשר לדמיין שלא מצליחים להציל את הילד שלך?
248,0.43,עברתי על התיק שלך.,קראתי את הקובץ שלך.,חקרתי את המקרה שלך.
248,0.71,קראתי את התיק שלך.,עברתי על התיק שלך.,חקרתי את המקרה שלך.
248,0.18,קראתי את התיק שלך.,עברתי על התיק שלך.,בדקתי את המסמכים שלך.
249,0.43,נראה כאילו המציאות שלך השתנתה לחלוטין,כאילו החיים שלך הופכים ללא מוכרים,נראה שהעולם שלך התהפך על פניו
249,0.71,נראה כאילו העולם שלך השתנה מקצה לקצה,כאילו כל העולם שלך השתנה לחלוטין,נראה שהעולם שלך התהפך על פניו
249,0.18,נראה כאילו העולם שלך השתנה לחלוטין,נראה שהעולם שלך התהפך על פניו,כאילו הכל בחייך השתנה
250,0.43,חמישה חודשים לפני שעלית על המטוס.,חמישה חודשים לפני שנסעת באותו מטוס.,חמישה חודשים לפני שהיית באותו טיסה.
250,0.71,חמישה חודשים לפני שעלית על המטוס.,חמישה חודשים לפני שהתקבלת למטוס.,חמישה חודשים לפני שנסעת במטוס.
250,0.18,חמישה חודשים לפני שנכנסת למטוס ההוא.,חמישה חודשים לפני שעלית על אותו מטוס.,חמישה חודשים לפני שהיית במטוס ההוא.
251,0.43,איבדתי חבר בתאונה.,חבר שלי מת. היינו בתאונת דרכים.,חברי נפטר. היינו בתאונת רכב.
251,0.71,איבדתי חבר בתאונת דרכים.,חבר שלי מת. היינו בתאונת דרכים.,חבר שלי נפטר. היינו בתאונה.
251,0.18,איבדתי חבר בתאונת דרכים.,חבר שלי נפטר. היינו בתאונה.,החבר שלי מת. היינו בתאונת דרכים.
252,0.43,את היית בהגה אחרי ששתית?,את היית הנהגת ושתית?,אתה היית הנהג ושתית?
252,0.71,את הייתה הנהגת ושתית?,היית בהגה ושתית אלכוהול?,אתה הייתה הנהג ושתית?
252,0.18,היית מושפע בזמן הנהיגה?,את היית הנהגת ושתית?,אתה היית הנהג ושתית?
253,0.43,זה היה מכביד על כל אחד.,זה היה משקל כבד על כל נפש.,זה היה מעמיס על כל אדם.
253,0.71,זה היה מכביד על כל אחד.,זה היה מעמיס על כל אדם.,זה יכול להיות כבד על כולם.
253,0.18,זה היה מכביד על כל אחד.,זה היה מעמיס על כולם.,זה היה משקל כבד על כל אדם.
254,0.43,"עברה חקירה, והוצאתי נקי.","היה חקירה, ונמצאתי חף מפשע.","נערכה חקירה, ואושרתי."
254,0.71,התקיימה חקירה והוצאתי נקי.,"ובכן, היה חקירה ונזקקתי נקי.",עברה חקירה והוצאתי לא נשפט.
254,0.18,עברתי חקירה והוצאתי נקי.,"נערך בדיקה, והוכחתי כחף מפשע.","הייתה חקירה, ונקיתי מכל דופי."
255,0.71,"אבל עדיין הוצבתי בתפקיד משרדי. כן, לא יכולתי לנהוג.","אבל בכל זאת, קיבלתי תפקיד משרדי. כן, לא יכלתי לנהוג.","אך עדין שיבצו אותי בעבודת שולחן. כן, לא הייתי יכולה לנהוג."
255,0.18,"אבל בכל זאת, שמו אותי בתפקיד שלא כולל נהיגה. כן, לא הייתי מסוגלת לנהוג.","אבל עדיין הועברתי לתפקיד משרדי. כן, לא יכולתי לנהוג.","אף על פי כן, נשלחתי לעבוד במשרד. כן, לא יכלתי להתמודד עם הנהיגה."
255,0.43,"אף על פי כן, נשארתי במשרד. כן, לא הצלחתי לנהוג.","אבל בכל זאת, שמו אותי בתפקיד שקט. כן, נהיגה לא הייתה אופציה.","אבל עדיין הועברתי לתפקיד משרדי. כן, לא יכולתי לנהוג."
256,0.71,לא הייתי ערוך. לא בא לי.,לא הייתי מוכן. לא רציתי.,לא הייתי מוכנה. לא רציתי.
256,0.18,לא הייתי במצב נפשי לכך. לא רציתי בכלל.,לא הרגשתי מוכנה. לא בא לי.,לא הייתי מוכנה. לא רציתי.
256,0.43,לא הייתי במצב. לא רציתי לעשות את זה.,לא הרגשתי מוכנה. לא רציתי בכלל.,לא הייתי מוכנה. לא רציתי.
257,0.71,סליחה. אז מה... מה הכוונה פה?,סליחה. מה... מה בדיוק הנקודה כאן?,סליחה. מה... מה הרעיון כאן?
257,0.18,סליחה. מה... מה בדיוק הנקודה פה?,"סליחה, אבל... מה המטרה כאן בדיוק?","אני מתנצלת, אבל... מה הכוונה פה בעצם?"
257,0.43,"סליחה, אני לא מבינה... מה את מנסה לומר?",סליחה. מה... מה בדיוק הכוונה כאן?,"סליחה, אבל... מה הנקודה פה בדיוק?"
258,0.71,אני מנסה לעזור לך לעבד,אני מטרתי לסייע לך להתמודד,אני משתדלת לסייע לך בעיבוד
258,0.18,אני מנסה לעזור לך לעבד,המטרה שלי היא לעזור לך להתמודד,אני כאן כדי לסייע לך בתהליך העיבוד
258,0.43,המטרה שלי היא לעזור לך לטפל בזה,אני מנסה לעזור לך לעבד את זה,אני כאן כדי לעזור לך להתמודד
259,0.71,עם עוצמת השינויים בחייך,עם השפעת השינויים בחייך,עם משקל השינויים בחייך
259,0.18,עם השינויים העצומים בחייך,עם המהפכות הגדולות בחייך,עם השינויים המשמעותיים בחייך
259,0.43,את המהפכות הגדולות בחייך,את השינויים העצומים בחייך,את השינויים הקרדינליים בחייך
260,0.71,בחמש השנים האחרונות. בארבעה הימים האחרונים.,בחמש השנים האחרונות. בארבעת הימים האחרונים.,בחמש שנים האחרונות. בארבעה הימים האחרונים.
260,0.18,בחמש השנים האחרונות. בארבעה הימים האחרונים.,בחמש השנים האחרונות. בארבעת הימים האחרונים.,בחמשת השנים האחרונות. בארבעת הימים האחרונים.
260,0.43,בחמש השנים האחרונות. ארבעת הימים האחרונים.,בחמשת השנים האחרונות. הארבעה ימים האחרונים.,בחמש שנים האחרונות. בארבעת הימים האחרונים.
261,0.71,זו הכוונה שלי --,זה בדיוק מה שאני מנסה לומר --,זה הנקודה שלי --
261,0.18,זה בדיוק מה שאני מנסה להגיד --,זהו בדיוק העניין --,זו בדיוק הנקודה שלי --
261,0.43,זה מה שאני מנסה להגיד --,זו בדיוק הנקודה --,זה בדיוק העניין --
262,0.71,לעכל כמות כזאת של שינוי בתקופה כה קצרה.,להפנים כל כך הרבה שינוי בפרק זמן קצר כל כך.,לקלוט כל כך הרבה שינוי בזמן כל כך קצר.
262,0.18,לעכל כמות כזו של שינוי בפרק זמן כה מועט.,לקלוט כל כך הרבה שינוי בזמן כל כך קצר.,להתמודד עם כל כך הרבה שינויים בפרק זמן קצר.
262,0.43,להתמודד עם כל כך הרבה שינויים בזמן קצר.,לעכל שינויים כה רבים בפרק זמן כל כך מועט.,לקלוט כל כך הרבה שינוי בזמן כל כך קצר.
263,0.71,אין צורך להסתיר את רגשותיך.,אין צורך לכסות על הרגשות שלך.,אינך צריך להחביא את הרגשות שלך.
263,0.18,אין צורך לכסות על רגשותייך.,אין צורך להחביא את מה שאת מרגישה.,אין צורך להסתיר את רגשותייך.
263,0.43,אין סיבה להחביא את הרגשות שלך.,את לא צריכה לכסות על רגשותייך.,אין צורך להסתיר את רגשותייך.
264,0.71,"אני כאן בשבילך. עם כל הכבוד, אך את לא.","אני תומך בך. עם כל הכבוד, אבל את לא.","אני לצידך. עם כל הכבוד, אבל את לא."
264,0.18,"אני לצידך. עם כל הכבוד, אבל את לא.","אני תומכת בך. עם כל הכבוד, את לא.","אני כאן בשבילך. עם כל הכבוד, אבל את לא."
264,0.43,"אני בצד שלך. עם כל הכבוד, אבל את לא.","אני מצידך. עם כל הכבוד, אבל את לא.","אני כאן בשבילך. עם כל הכבוד, את לא."
265,0.71,"תסתכלי, אני מבין את התהליך פה.","תראי, אני מכיר את המסלול פה.","תסתכלי, אני יודע את השגרה כאן."
265,0.18,"תסתכלי, אני יודעת איך זה פה.","ראי, אני מבינה את התהליך פה.","תראי, אני מכירה את המסלול פה."
265,0.43,"תראי, אני יודעת איך זה פה.","תראי, אני מכירה את המסלול פה.","הבנתי, אני יודעת מה הקטע פה."
266,0.71,"אני מתמוטט ואת מסמנת אותי כבלתי כשיר לשירות,","אני קורס ואת מסמנת אותי כלא כשיר לתפקיד,","אני נשבר ואת מסמנת אותי כלא מתאים לשירות,"
266,0.18,"אני קורסת ואז את מחליטה שאני לא כשירה לשירות,","אני מתפרקת ואת מגדירה אותי כבלתי מתאימה לשירות,","אני מתמוטטת ואת מסמנת אותי כלא מתאימה לשירות,"
266,0.43,"אני קורסת ואת מסמנת אותי כבלתי כשירה לשירות,","אני מתמוטטת ואת מסמנת אותי כלא מתאימה לשירות,","אני מתפרקת ואת מפסיקה אותי מהשירות,"
267,0.71,אבל אני בסדר.,אבל אני טובה.,אבל אני תקין.
267,0.18,אבל אני בסדר.,אבל אני מרגישה טוב.,אבל אני תקינה.
267,0.43,אבל אני בסדר.,אבל אני אוקיי.,אבל אני תקינה.
268,0.71,"אז מה דעתך
לאפשר לי לשוב","אז מה דעתך
לתת לי לחזור","אז איך על
לאפשר לי לחזור"
268,0.18,אז אולי תני לי את האופציה לחזור,אז איך על כך שתאפשרי לי לחזור,אז מה דעתך לתת לי לחזור
268,0.43,אז איך על לאפשר לי לחזור,אז מה דעתך לאפשר לי לחזור,אז מה דעתך לתת לי לחזור
269,0.71,"ליחידה
שעוד יש לי -- המשרה שלי?","לאחד הדברים
שעוד נותרו לי -- הקריירה שלי?","לדבר היחיד
שנשאר לי -- העבודה שלי?"
269,0.18,למה שעדיין יש לי -- התפקיד שלי?,לדבר היחיד שנשאר לי -- העבודה שלי?,ליחידה שעוד נותרה לי -- המשרה שלי?
269,0.43,למה שעדיין בבעלותי -- התפקיד שלי?,ליחידה שעוד נשארה לי -- המשרה שלי?,לדבר היחיד שנשאר לי -- העבודה שלי?
270,0.43,אני צריכה לראות אותך שוב.,אני אצטרך לראות אותך שוב.,יהיה עלינו להיפגש שוב.
270,0.18,אני צריכה לראות אותך שוב.,אני אצטרך לראות אותך שוב.,יהיה עלינו להיפגש שוב.
270,0.71,אני צריכה לראות אותך שוב.,תצטרך לבוא שוב.,אני אצטרך לראות אותך שוב.
271,0.43,הי.,אהלן.,היי.
271,0.18,הי.,אהלן.,היי.
271,0.71,הי.,היי.,היי שם.
272,0.43,הכל בסדר?,האם אתה טוב?,אתה בסדר?
272,0.18,הכל בסדר?,כולם בסדר?,אתה בסדר?
272,0.71,הכול בסדר?,הכל טוב איתך?,אתה בסדר?
273,0.43,"כן, זו הבירוקרטיה. מה נשמע?","כן, בירוקרטיה. מה קורה?","כן, סתם בירוקרטיה. מה המצב?"
273,0.18,"כן, בירוקרטיה. מה קורה?","כן, סתם בירוקרטיה. מה המצב?","כן, זו רק בירוקרטיה. מה נשמע?"
273,0.71,"כן, בירוקרטיה. מה קורה?","כן, זה רק בירוקרטיה. מה המצב?","אה, בירוקרטיה. יש משהו?"
